;,add,m16u16,s,,y,:add_m16_u16_raise_errors,,hl,de,hl,h;l;f,empty,,,,,"First param is the S16, output is u16"
;,add,m16u16,u,,y,:add_m16_u16_raise_errors,,de,hl,hl,h;l;f,empty,,,,,"First param is the u16, output is u16"
;,subtract,u8,,,x,sub8ri,,a,i,a,a;f,c_overflow,m_overflow,,,,
;,subtract,u8,,,x,sub8rr,,a,a;b;c;d;e;h;l,a,a;f,c_overflow,m_overflow,,,,
;,subtract,s8,,,x,sub8ri,,a,i,a,a;f,pe_overflow,,m_overflow,,m_overflow,
;,subtract,s8,,,x,sub8rr,,a,a;b;c;d;e;h;l,a,a;f,pe_overflow,,m_overflow,,m_overflow,
;,subtract,u16,,,x,subx16,,hl,hl;de;bc,hl,h;l;f,c_overflow,,,m_overflow,,
;,subtract,s16,,,x,subx16,,hl,hl;de;bc,hl,h;l;f,pe_overflow,,,,m_overflow,
;,subtract,m16s16,,,n,subx16,,hl,hl;de;bc,hl,h;l;f,,,,,,
;,subtract,m16u16,,,n,subx16,,hl,hl;de;bc,hl,h;l;f,,,,,,
;,subtract,m16s16,s,,y,:sub_s16_u16_s16_raise_errors,,hl,de,hl,h;l;f,empty,,,,,"First param is the S16, output is s16"
;,subtract,m16s16,u,,y,:sub_u16_s16_s16_raise_errors,,hl,de,hl,h;l;f,empty,,,,,"First param is the u16, output is s16"
;,subtract,m16u16,s,,y,:sub_s16_u16_u16_raise_errors,,hl,de,hl,h;l;f,empty,,,,,"First param is the S16, output is u16"
;,subtract,m16u16,u,,y,:sub_u16_s16_u16_raise_errors,,hl,de,hl,h;l;f,empty,,,,,"First param is the u16, output is u16"
;,negate,s8,,s8,x,negs8,,a,,a,a;f,pe_overflow,,,,,
;,negate,s8,,s16,x,negs8,,a,,a,a;f,empty,,,,,
;,negate,u16,,,x,negu16,,de,,hl,h;l;d;e;f,empty,,nz_overflow,p_overflow,nz_overflow,
;,negate,s16,,,y,:negate_HL_and_test_if_INT,,hl,,hl,h;l;a;f,nc_overflow,,,,,
;,negate,s16,,,n,:negate_s16,,hl,,hl,h;l;a;f,,,,,,
;,,,,,,,,,,,,,,,,,
;,Name,OpType,FirstParamType,DestType,Validation,Exec,,Param1,Param2,Dest,Corrupts,Validate,s8,u8,s16,u16,Notes
;,multiply,u8,,u16,x,:mult_h_e,,h,e,hl,a;f;b;d;e;h;l,empty,,,,,"Technically we could do this, but it violates other expression parsing rules."
;,multiply,u8,,,x,:mult_h_e,,h,e,l,a;f;b;d;e;h;l,hreg_nz_overflow,,,,,
;,multiply,u16,,,x,:do_16x16_multiply_with_overflow,,hl,de,hl,a;f;d;e;h;l,c_overflow,,,,,
;,multiply,s16,,,x,:INT_multiply_with_overflow_test,,hl,de,hl,a;f;b;d;e;h;l,nc_overflow,,,,,
;,multiply,m16s16,s,,x,:multiply_s16_u16_s16,,hl,de,hl,a;f;b;d;e;h;l,nc_overflow,,,,,
;,multiply,m16s16,u,,x,:multiply_s16_u16_s16,,de,hl,hl,a;f;b;d;e;h;l,nc_overflow,,,,,
;,multiply,m16u16,s,,x,:multiply_s16_u16_u16,,hl,de,hl,a;f;b;d;e;h;l,nc_overflow,,,,,
;,multiply,m16u16,u,,x,:multiply_s16_u16_u16,,de,hl,hl,a;f;b;d;e;h;l,nc_overflow,,,,,
;,intdiv,u8,,,x,:c_div_d,,c,d,c,a;f;b;c,empty,,,,,
;,intdiv,u16,,,x,:unsigned16_division,,hl,de,hl,a;f;b;c;d;e;h;l,empty,,,,,
;,intdiv,s16,,,x,:INT_division,,hl,de,hl,a;f;b;c;d;e;h;l,nc_overflow,,,,,
;,intdiv,m16s16,s,,x,:div_s16_u16_s16,,hl,de,hl,a;f;b;c;d;e;h;l,nc_overflow,,,,,
;,intdiv,m16s16,u,,x,:div_u16_s16_s16,,hl,de,hl,a;f;b;c;d;e;h;l,nc_overflow,,,,,
;,intdiv,m16u16,s,,x,:div_s16_u16_u16,,hl,de,hl,a;f;b;c;d;e;h;l,nc_overflow,,,,,
;,intdiv,m16u16,u,,x,:div_u16_s16_u16,,hl,de,hl,a;f;b;c;d;e;h;l,nc_overflow,,,,,
;,mod,u8,,,x,:c_div_d,,c,d,a,a;f;b;c,empty,,,,,
;,mod,u16,,,x,:unsigned16_division,,hl,de,de,a;f;b;c;d;e;h;l,empty,,,,,
;,mod,s16,,,x,:INT_modulo,,hl,de,hl,a;f;b;c;d;e;h;l,empty,,,,,
;,mod,m16s16,s,,x,:mod_s16_u16_s16,,hl,de,hl,a;f;b;c;d;e;h;l,empty,,,,,
;,mod,m16s16,u,,x,:mod_u16_s16_s16,,hl,de,de,a;f;b;c;d;e;h;l,empty,,,,,
;,mod,m16u16,s,,x,:mod_s16_u16_u16,,hl,de,hl,a;f;b;c;d;e;h;l,nc_overflow,,,,,
;,mod,m16u16,u,,x,:mod_u16_s16_u16,,hl,de,de,a;f;b;c;d;e;h;l,nc_overflow,,,,,
;,shl,u8,,,,shl,,,,,,,,,,,
;,shl,s8,,,,shl,,,,,,,,,,,
;,shl,u16,,,,shl,,,,,,,,,,,
;,shl,s16,,,,shl,,,,,,,,,,,
;,shr,u8,,,,shr,,,,,,,,,,,
;,shr,s8,,,,shr,,,,,,,,,,,
;,shr,u16,,,,shr,,,,,,,,,,,
;,shr,s16,,,,shr,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,Comparisons,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,Name,OpType,FirstParamType,DestType,Validation,Exec,,Param1,Param2,Dest,Corrupts,Validate,s8,u8,s16,u16,Notes
;,equal,x8,,branch,x,compare8i,,a,i,zf,f,empty,,,,,For branches - only sets flag
;,equal,x8,,branch,x,compare8r,,a,a;b;c;d;e;h;l,zf,f,empty,,,,,For branches - only sets flag
;,equal,x8,,,x,sub8_reg_imm,,a,i,zfa,a;f,empty,,,,,zfa: sets z flag and a <> 0
;,equal,x8,,,x,sub8_reg_reg,,a,a;b;c;d;e;h;l,zfa,a;f,empty,,,,,zfa: sets z flag and a <> 0
;,equal,m16u16,,branch,x,:equal_m16,,hl,de,zf,a;h;l;f,empty,,,,,
;,equal,m16s16,,branch,x,:equal_m16,,hl,de,zf,a;h;l;f,empty,,,,,
;,equal,m16u16,,,x,:equal_m16,,hl,de,zf,a;h;l;f,empty,,,,,
;,equal,m16s16,,,x,:equal_m16,,hl,de,zf,a;h;l;f,empty,,,,,
;,equal,x16,,branch,x,:comp_u16,,hl,de,zf,a;f,empty,,,,,
;,equal,x16,,,x,:comp_u16,,hl,de,zf,a;f,empty,,,,,
;,equal,boolean,,branch,x,xor8ri,,a,i,zf,f,empty,,,,,
;,equal,boolean,,branch,x,xor8rr,,a,a;b;c;d;e;h;l,zf,f,empty,,,,,
;,equal,boolean,,,x,xor8ri,,a,i,cpla,f,empty,,,,,Result in complement (invert) of A
;,equal,boolean,,,x,xor8rr,,a,a;b;c;d;e;h;l,cpla,f,empty,,,,,Result in complement (invert) of A
;,notequal,x8,,branch,x,compare8i,,a,i,nzf,f,empty,,,,,For branches - only sets flag
;,notequal,x8,,branch,x,compare8r,,a,a;b;c;d;e;h;l,nzf,f,empty,,,,,For branches - only sets flag
;,notequal,x8,,,x,sub8_reg_imm,,a,i,nzfa,a;f,empty,,,,,zfa: sets z flag and a <> 0
;,notequal,x8,,,x,sub8_reg_reg,,a,a;b;c;d;e;h;l,nzfa,a;f,empty,,,,,zfa: sets z flag and a <> 0
;,notequal,m16u16,,branch,x,:equal_m16,,hl,de,nzf,a;h;l;f,empty,,,,,
;,notequal,m16s16,,branch,x,:equal_m16,,hl,de,nzf,a;h;l;f,empty,,,,,
;,notequal,m16u16,,,x,:equal_m16,,hl,de,nzf,a;h;l;f,empty,,,,,
;,notequal,m16s16,,,x,:equal_m16,,hl,de,nzf,a;h;l;f,empty,,,,,
;,notequal,x16,,branch,x,:comp_u16,,hl,de,nzf,a;f,empty,,,,,
;,notequal,x16,,,x,:comp_u16,,hl,de,nzf,a;f,empty,,,,,
;,notequal,boolean,,branch,x,xor8ri,,a,i,nzf,f,empty,,,,,
;,notequal,boolean,,branch,x,xor8rr,,a,a;b;c;d;e;h;l,nzf,f,empty,,,,,
;,notequal,boolean,,,x,xor8ri,,a,i,a,f,empty,,,,,Result is raw value of A
;,notequal,boolean,,,x,xor8rr,,a,a;b;c;d;e;h;l,a,f,empty,,,,,Result is raw value of A
;,,,,,,,,,,,,,,,,,
;,less,u8,,branch,x,compare8i,,a,i,cf,f,empty,,,,,
;,less,u8,,branch,x,compare8r,,a,a;b;c;d;e;h;l,cf,f,empty,,,,,
;,less,u8,,,x,compare8i,,a,i,cf,f,empty,,,,,
;,less,u8,,,x,compare8r,,a,a;b;c;d;e;h;l,cf,f,empty,,,,,
;,less,u16,,branch,x,:comp_u16,,hl,de,cf,a;f,empty,,,,,
;,less,u16,,,x,:comp_u16,,hl,de,cf,a;f,empty,,,,,
;,less,s16,,branch,x,:comp_s16,,hl,de,cf,a;f;d,empty,,,,,
;,less,s16,,,x,:comp_s16,,hl,de,cf,a;f;d,empty,,,,,
;,less,x16,u,branch,x,:comp_u16_s16,,hl,de,cf,a;h;l;f,empty,,,,,
;,less,x16,u,,x,:comp_u16_s16,,hl,de,cf,a;h;l;f,empty,,,,,
;,less,x16,s,branch,x,:comp_s16_u16,,hl,de,cf,a;h;l;f,empty,,,,,
;,less,x16,s,,x,:comp_s16_u16,,hl,de,cf,a;h;l;f,empty,,,,,
;,less,boolean,,branch,x,compare8i,,a,i,cf,f,empty,,,,,
;,less,boolean,,branch,x,compare8r,,a,a;b;c;d;e;h;l,cf,f,empty,,,,,
;,less,boolean,,,x,bool_less8i,,a,i,a,f,empty,,,,,
;,less,boolean,,,x,bool_less8r,,a,a;b;c;d;e;h;l,a,f,empty,,,,,
;,,,,,,,,,,,,,,,,,
;,greaterequal,u8,,branch,x,compare8i,,a,i,ncf,f,empty,,,,,
;,greaterequal,u8,,branch,x,compare8r,,a,a;b;c;d;e;h;l,ncf,f,empty,,,,,
;,greaterequal,u8,,,x,compare8i,,a,i,ncf,f,empty,,,,,
;,greaterequal,u8,,,x,compare8r,,a,a;b;c;d;e;h;l,ncf,f,empty,,,,,
;,greaterequal,u16,,branch,x,:comp_u16,,hl,de,ncf,a;f,empty,,,,,
;,greaterequal,u16,,,x,:comp_u16,,hl,de,ncf,a;f,empty,,,,,
;,greaterequal,s16,,branch,x,:comp_s16,,hl,de,ncf,a;f;d,empty,,,,,
;,greaterequal,s16,,,x,:comp_s16,,hl,de,ncf,a;f;d,empty,,,,,
;,greaterequal,x16,u,branch,x,:comp_u16_s16,,hl,de,ncf,a;h;l;f,empty,,,,,
;,greaterequal,x16,u,,x,:comp_u16_s16,,hl,de,ncf,a;h;l;f,empty,,,,,
;,greaterequal,x16,s,branch,x,:comp_s16_u16,,hl,de,ncf,a;h;l;f,empty,,,,,
;,greaterequal,x16,s,,x,:comp_s16_u16,,hl,de,ncf,a;h;l;f,empty,,,,,
;,greaterequal,boolean,,branch,x,compare8i,,a,i,ncf,f,empty,,,,,
;,greaterequal,boolean,,branch,x,compare8r,,a,a;b;c;d;e;h;l,ncf,f,empty,,,,,
;,greaterequal,boolean,,,x,bool_greaterequal8i,,i,a,a,f,empty,,,,,
;,greaterequal,boolean,,,x,bool_greaterequal8r,,b;c;d;e;h;l,a,a,f,empty,,,,,Note: A should be an option for Param1 but current allocator allocates Param1 first and breaks here.
;,,,,,,,,,,,,,,,,,
;,greater,u8,,branch,x,compare8i_swap,,i,a,cf,f,empty,,,,,
;,greater,u8,,branch,x,compare8r_swap,,b;c;d;e;h;l,a,cf,f,empty,,,,,Note: A should be an option for Param1 but current allocator allocates Param1 first and breaks here.
;,greater,u8,,,x,compare8i_swap,,i,a,cf,f,empty,,,,,
;,greater,u8,,,x,compare8r_swap,,b;c;d;e;h;l,a,cf,f,empty,,,,,Note: A should be an option for Param1 but current allocator allocates Param1 first and breaks here.
;,greater,u16,,branch,x,:comp_u16,,de,hl,cf,a;f,empty,,,,,
;,greater,u16,,,x,:comp_u16,,de,hl,cf,a;f,empty,,,,,
;,greater,s16,,branch,x,:comp_s16,,de,hl,cf,a;f;d,empty,,,,,
;,greater,s16,,,x,:comp_s16,,de,hl,cf,a;f;d,empty,,,,,
;,greater,x16,s,branch,x,:comp_u16_s16,,de,hl,cf,a;h;l;f,empty,,,,,
;,greater,x16,s,,x,:comp_u16_s16,,de,hl,cf,a;h;l;f,empty,,,,,
;,greater,x16,u,branch,x,:comp_s16_u16,,de,hl,cf,a;h;l;f,empty,,,,,
;,greater,x16,u,,x,:comp_s16_u16,,de,hl,cf,a;h;l;f,empty,,,,,
;,greater,boolean,,branch,x,compare8i_swap,,i,a,cf,f,empty,,,,,
;,greater,boolean,,branch,x,compare8r_swap,,b;c;d;e;h;l,a,cf,f,empty,,,,,Note: A should be an option for Param1 but current allocator allocates Param1 first and breaks here.
;,greater,boolean,,,x,bool_greater8i,,i,a,a,f,empty,,,,,
;,greater,boolean,,,x,bool_greater8r,,b;c;d;e;h;l,a,a,f,empty,,,,,Note: A should be an option for Param1 but current allocator allocates Param1 first and breaks here.
;,,,,,,,,,,,,,,,,,
;,lessequal,u8,,branch,x,compare8i_swap,,i,a,ncf,f,empty,,,,,
;,lessequal,u8,,branch,x,compare8r_swap,,b;c;d;e;h;l,a,ncf,f,empty,,,,,Note: A should be an option for Param1 but current allocator allocates Param1 first and breaks here.
;,lessequal,u8,,,x,compare8i_swap,,i,a,ncf,f,empty,,,,,
;,lessequal,u8,,,x,compare8r_swap,,b;c;d;e;h;l,a,ncf,f,empty,,,,,Note: A should be an option for Param1 but current allocator allocates Param1 first and breaks here.
;,lessequal,u16,,branch,x,:comp_u16,,de,hl,ncf,a;f,empty,,,,,
;,lessequal,u16,,,x,:comp_u16,,de,hl,ncf,a;f,empty,,,,,
;,lessequal,s16,,branch,x,:comp_s16,,de,hl,ncf,a;f;d,empty,,,,,
;,lessequal,s16,,,x,:comp_s16,,de,hl,ncf,a;f;d,empty,,,,,
;,lessequal,x16,s,branch,x,:comp_u16_s16,,de,hl,ncf,a;h;l;f,empty,,,,,
;,lessequal,x16,s,,x,:comp_u16_s16,,de,hl,ncf,a;h;l;f,empty,,,,,
;,lessequal,x16,u,branch,x,:comp_s16_u16,,de,hl,ncf,a;h;l;f,empty,,,,,
;,lessequal,x16,u,,x,:comp_s16_u16,,de,hl,ncf,a;h;l;f,empty,,,,,
;,lessequal,boolean,,branch,x,compare8i_swap,,i,a,ncf,f,empty,,,,,
;,lessequal,boolean,,branch,x,compare8r_swap,,b;c;d;e;h;l,a,ncf,f,empty,,,,,Note: A should be an option for Param1 but current allocator allocates Param1 first and breaks here.
;,lessequal,boolean,,,x,bool_lessequal8i,,a,i,a,f,empty,,,,,
;,lessequal,boolean,,,x,bool_lessequal8r,,a,a;b;c;d;e;h;l,a,f,empty,,,,,
;,,,,,,,,,,,,,,,,,
;,Boolean operators,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
;,Name,OpType,FirstParamType,DestType,Validation,Exec,,Param1,Param2,Dest,Corrupts,Validate,s8,u8,s16,u16,Notes
;,or,u8,,,x,or8ri,,a,i,a,f,empty,,,,,The way we're storing Booleans means we use the same code for bitwise and logical operations
;,or,u8,,,x,or8rr,,a,a;b;c;d;e;h;l,a,f,empty,,,,,The way we're storing Booleans means we use the same code for bitwise and logical operations
;,or,s8,,,x,or8ri,,a,i,a,f,empty,,,,,The way we're storing Booleans means we use the same code for bitwise and logical operations
;,or,s8,,,x,or8rr,,a,a;b;c;d;e;h;l,a,f,empty,,,,,The way we're storing Booleans means we use the same code for bitwise and logical operations
;,or,u16,,,x,or16ri,,hl;de;bc,i,p1,a;f,empty,,,,,
;,or,u16,,,x,or16rr,,hl;de;bc,hl;de;bc,p1,a;f,empty,,,,,
;,or,s16,,,x,or16ri,,hl;de;bc,i,p1,a;f,empty,,,,,
;,or,s16,,,x,or16rr,,hl;de;bc,hl;de;bc,p1,a;f,empty,,,,,
;,or,m16s16,,,x,or16ri,,hl;de;bc,i,p1,a;f,empty,,,,,
;,or,m16s16,,,x,or16rr,,hl;de;bc,hl;de;bc,p1,a;f,empty,,,,,
;,or,m16u16,,,x,or16ri,,hl;de;bc,i,p1,a;f,empty,,,,,
;,or,m16u16,,,x,or16rr,,hl;de;bc,hl;de;bc,p1,a;f,empty,,,,,
;,or,boolean,,,x,or8ri,,a,i,a,f,empty,,,,,
;,or,boolean,,,x,or8rr,,a,a;b;c;d;e;h;l,a,f,empty,,,,,
;,,,,,,,,,,,,,,,,,
;,and,u8,,,x,and8ri,,a,i,a,f,empty,,,,,The way we're storing Booleans means we use the same code for bitwise and logical operations
;,and,u8,,,x,and8rr,,a,a;b;c;d;e;h;l,a,f,empty,,,,,The way we're storing Booleans means we use the same code for bitwise and logical operations
;,and,s8,,,x,and8ri,,a,i,a,f,empty,,,,,The way we're storing Booleans means we use the same code for bitwise and logical operations
;,and,s8,,,x,and8rr,,a,a;b;c;d;e;h;l,a,f,empty,,,,,The way we're storing Booleans means we use the same code for bitwise and logical operations
;,and,u16,,,x,and16ri,,hl;de;bc,i,p1,a;f,empty,,,,,
;,and,u16,,,x,and16rr,,hl;de;bc,hl;de;bc,p1,a;f,empty,,,,,
;,and,s16,,,x,and16ri,,hl;de;bc,i,p1,a;f,empty,,,,,
;,and,s16,,,x,and16rr,,hl;de;bc,hl;de;bc,p1,a;f,empty,,,,,
;,and,m16s16,,,x,and16ri,,hl;de;bc,i,p1,a;f,empty,,,,,
;,and,m16s16,,,x,and16rr,,hl;de;bc,hl;de;bc,p1,a;f,empty,,,,,
;,and,m16u16,,,x,and16ri,,hl;de;bc,i,p1,a;f,empty,,,,,
;,and,m16u16,,,x,and16rr,,hl;de;bc,hl;de;bc,p1,a;f,empty,,,,,
;,and,boolean,,,x,and8ri,,a,i,a,f,empty,,,,,
;,and,boolean,,,x,and8rr,,a,a;b;c;d;e;h;l,a,f,empty,,,,,
;,,,,,,,,,,,,,,,,,
;,xor,u8,,,x,xor8ri,,a,i,a,f,empty,,,,,The way we're storing Booleans means we use the same code for bitwise and logical operations
;,xor,u8,,,x,xor8rr,,a,a;b;c;d;e;h;l,a,f,empty,,,,,The way we're storing Booleans means we use the same code for bitwise and logical operations
;,xor,s8,,,x,xor8ri,,a,i,a,f,empty,,,,,The way we're storing Booleans means we use the same code for bitwise and logical operations
;,xor,s8,,,x,xor8rr,,a,a;b;c;d;e;h;l,a,f,empty,,,,,The way we're storing Booleans means we use the same code for bitwise and logical operations
;,xor,u16,,,x,xor16ri,,hl;de;bc,i,p1,a;f,empty,,,,,
;,xor,u16,,,x,xor16rr,,hl;de;bc,hl;de;bc,p1,a;f,empty,,,,,
;,xor,s16,,,x,xor16ri,,hl;de;bc,i,p1,a;f,empty,,,,,
;,xor,s16,,,x,xor16rr,,hl;de;bc,hl;de;bc,p1,a;f,empty,,,,,
;,xor,m16s16,,,x,xor16ri,,hl;de;bc,i,p1,a;f,empty,,,,,
;,xor,m16s16,,,x,xor16rr,,hl;de;bc,hl;de;bc,p1,a;f,empty,,,,,
;,xor,m16u16,,,x,xor16ri,,hl;de;bc,i,p1,a;f,empty,,,,,
;,xor,m16u16,,,x,xor16rr,,hl;de;bc,hl;de;bc,p1,a;f,empty,,,,,
;,xor,boolean,,,x,xor8ri,,a,i,a,f,empty,,,,,
;,xor,boolean,,,x,xor8rr,,a,a;b;c;d;e;h;l,a,f,empty,,,,,
;,,,,,,,,,,,,,,,,,
;,not,u8,,,x,cpla,,a,,a,f,empty,,,,,The way we're storing Booleans means we use the same code for bitwise and logical operations
;,not,s8,,,x,cpla,,a,,a,f,empty,,,,,The way we're storing Booleans means we use the same code for bitwise and logical operations
;,not,u16,,,x,not16rr,,hl;de;bc,,p1,a;f,empty,,,,,
;,not,s16,,,x,not16rr,,hl;de;bc,,p1,a;f,empty,,,,,
;,not,boolean,,,x,cpla,,a,,a,f,empty,,,,,
;,,,,,,,,,,,,,,,,,
;,Name,OpType,FirstParamType,DestType,Validation,Exec,,Param1,Param2,Dest,Corrupts,Validate,s8,u8,s16,u16,Notes
,writechar,u8,,,x,:s_writechar,,a,,,,empty,,,,,Write character to output
,writeinteger,u8,,,x,:write_byte,,l,,,a;f;h;l,empty,,,,,Write byte to the output
,writeinteger,u16,,,x,:write_word,,hl,,,a;f;h;l,empty,,,,,Write word to the output
,writeinteger,s16,,,x,:write_integer,,hl,,,a;f;h;l,empty,,,,,Write signed integer to the output
,writeboolean,boolean,,,x,:write_bool,,a,,,a;f;h;l,empty,,,,,
;,writeasciiz,u16,,,x,:write_asciiz,,hl,,,a;f;h;l,empty,,,,,Write ASCIIZ string
;,writeascii7,u16,,,x,:write_ascii7,,hl,,,a;f;h;l,empty,,,,,Write ASCII7 string (bit 7 of final char set)
,writenewline,,,,x,:s_newline,,,,,,empty,,,,,Write end of line marker
;,,,,,,,,,,,,,,,,,
;,Typecasts,,,,,,,,,,,,,,,,
;,,,,,,,,,,,,,,,,,
,integer,x8,,x16,x,assign_abs16_r8,deststaticvar,a;b;c;d;e;h;l,,,a;f,empty,empty,empty,empty,empty,Typecast 8 bit to 16 bit. High byte will be zeroed
,integer,x8,,x16,x,assign_rel16_r8,destrelvar,a;b;c;d;e;h;l,,,,empty,empty,empty,empty,empty,Typecast 8 bit to 16 bit. High byte will be zeroed
,integer,x16,,x16,x,empty,,hl;de;bc,,p1,,empty,empty,empty,empty,empty,
